Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","886,823,322.56","6.11","886,823,322.56","3,946,348.00","224.72","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","850,020,835.24","5.85","850,020,835.24","2,018,908.00","421.03","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","793,208,363.42","5.46","793,208,363.42","6,456,197.00","122.86","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","447,861,024.38","3.08","447,861,024.38","2,521,882.00","177.59","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","319,610,869.29","2.20","319,610,869.29","594,813.00","537.33","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","257,381,893.60","1.77","257,381,893.60","1,595,672.00","161.30","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","219,050,310.12","1.51","219,050,310.12","496,893.00","440.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","218,174,607.00","1.50","218,174,607.00","1,337,100.00","163.17","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","215,120,453.60","1.48","215,120,453.60","230,920.00","931.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","205,070,207.48","1.41","205,070,207.48","1,234,396.00","166.13","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","164,595,419.75","1.13","164,595,419.75","778,045.00","211.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","161,565,203.76","1.11","161,565,203.76","754,484.00","214.14","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","144,700,795.72","1.00","144,700,795.72","249,652.00","579.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","144,650,183.76","1.00","144,650,183.76","1,218,312.00","118.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","114,141,308.80","0.79","114,141,308.80","427,816.00","266.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","107,452,343.84","0.74","107,452,343.84","639,902.00","167.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","105,482,913.15","0.73","105,482,913.15","120,229.00","877.35","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","105,184,617.23","0.72","105,184,617.23","224,413.00","468.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","104,075,564.37","0.72","104,075,564.37","654,193.00","159.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","96,857,029.65","0.67","96,857,029.65","268,995.00","360.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","92,930,053.80","0.64","92,930,053.80","480,507.00","193.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","86,134,689.50","0.59","86,134,689.50","1,177,025.00","73.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","77,918,414.67","0.54","77,918,414.67","687,657.00","113.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","77,044,277.74","0.53","77,044,277.74","116,167.00","663.22","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","72,272,729.15","0.50","72,272,729.15","1,052,771.00","68.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","71,835,066.27","0.49","71,835,066.27","1,840,509.00","39.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","68,590,685.20","0.47","68,590,685.20","467,239.00","146.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","67,321,019.28","0.46","67,321,019.28","121,483.00","554.16","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","66,822,503.99","0.46","66,822,503.99","254,281.00","262.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","64,321,494.20","0.44","64,321,494.20","372,835.00","172.52","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","64,298,915.04","0.44","64,298,915.04","436,339.00","147.36","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","62,518,740.09","0.43","62,518,740.09","103,561.00","603.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","59,433,217.44","0.41","59,433,217.44","130,296.00","456.14","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","58,326,565.87","0.40","58,326,565.87","425,959.00","136.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","55,324,445.93","0.38","55,324,445.93","170,161.00","325.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","53,710,147.74","0.37","53,710,147.74","195,402.00","274.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","53,362,277.69","0.37","53,362,277.69","1,099,573.00","48.53","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","52,494,112.26","0.36","52,494,112.26","302,839.00","173.34","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","52,038,071.10","0.36","52,038,071.10","469,065.00","110.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","51,855,579.06","0.36","51,855,579.06","950,258.00","54.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","50,139,947.30","0.35","50,139,947.30","295,045.00","169.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","49,897,306.86","0.34","49,897,306.86","247,102.00","201.93","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","49,815,716.29","0.34","49,815,716.29","422,561.00","117.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","48,399,408.99","0.33","48,399,408.99","179,703.00","269.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","48,289,662.72","0.33","48,289,662.72","74,048.00","652.14","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","48,250,881.00","0.33","48,250,881.00","248,780.00","193.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","47,792,449.11","0.33","47,792,449.11","225,617.00","211.83","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","47,314,634.51","0.33","47,314,634.51","145,409.00","325.39","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","46,332,716.91","0.32","46,332,716.91","55,681.00","832.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","46,001,726.51","0.32","46,001,726.51","95,803.00","480.17","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","45,858,612.80","0.32","45,858,612.80","1,145,320.00","40.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","45,830,827.08","0.32","45,830,827.08","132,597.00","345.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","44,268,651.83","0.30","44,268,651.83","498,577.00","88.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","44,159,511.33","0.30","44,159,511.33","1,538,123.00","28.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","43,164,590.10","0.30","43,164,590.10","557,610.00","77.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","42,679,787.48","0.29","42,679,787.48","360,593.00","118.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","42,675,192.36","0.29","42,675,192.36","85,518.00","499.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","41,832,997.38","0.29","41,832,997.38","84,866.00","492.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","41,707,827.20","0.29","41,707,827.20","1,055,360.00","39.52","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","40,318,407.56","0.28","40,318,407.56","165,436.00","243.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","39,627,813.26","0.27","39,627,813.26","544,862.00","72.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","38,413,020.00","0.26","38,413,020.00","153,960.00","249.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","37,687,864.75","0.26","37,687,864.75","159,175.00","236.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","37,274,596.32","0.26","37,274,596.32","155,272.00","240.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","37,198,621.28","0.26","37,198,621.28","1,948,592.00","19.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","35,344,111.11","0.24","35,344,111.11","317,757.00","111.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","35,070,660.44","0.24","35,070,660.44","176,714.00","198.46","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","34,912,922.10","0.24","34,912,922.10","40,035.00","872.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","34,255,908.84","0.24","34,255,908.84","307,283.00","111.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","34,157,612.88","0.24","34,157,612.88","63,054.00","541.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","33,584,350.80","0.23","33,584,350.80","9,240.00","3,634.67","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","33,305,326.21","0.23","33,305,326.21","28,337.00","1,175.33","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","33,096,640.00","0.23","33,096,640.00","70,120.00","472.00","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","32,792,102.10","0.23","32,792,102.10","98,130.00","334.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","32,763,979.50","0.23","32,763,979.50","108,325.00","302.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
